gender,experience_years,skill_score,education,hired
Male,15,57,Master,1
Female,12,65,Bachelor,0
Female,14,91,Master,1
Male,8,85,Bachelor,1
Male,3,79,Master,1
Male,8,67,Master,1
Male,15,51,Master,1
Female,5,98,Master,1
Female,1,62,Bachelor,0
Female,7,53,Bachelor,0
Male,5,75,Master,1
Female,6,74,Bachelor,1
Female,6,79,Bachelor,1
Male,8,60,Bachelor,1
Male,9,56,Master,1
Male,2,80,Bachelor,1
Male,9,93,Master,1
Male,12,59,PhD,1
Male,15,88,Bachelor,1
Male,11,62,Bachelor,1
Female,10,80,Bachelor,1
Male,9,56,PhD,1
Male,13,98,Bachelor,1
Male,10,91,Bachelor,1
Male,15,91,Bachelor,1
Female,10,85,Master,1
Male,7,69,Bachelor,1
Male,1,53,Master,0
Male,7,56,PhD,0
Male,10,50,Bachelor,1
Female,5,93,Master,1
Male,6,94,Bachelor,1
Male,10,91,PhD,1
Female,7,96,Master,1
Female,14,62,PhD,1
Female,15,71,Bachelor,1
Male,5,70,Bachelor,1
Male,7,71,Bachelor,1
Female,9,77,Bachelor,1
Male,3,58,Bachelor,0
Male,8,75,Bachelor,1
Male,2,58,Bachelor,0
Male,11,64,Bachelor,1
Female,7,59,Master,0
Male,13,73,Bachelor,1
Female,2,91,Bachelor,0
Male,15,57,Bachelor,1
Male,14,73,Bachelor,1
Male,4,65,PhD,1
Male,7,98,Bachelor,1
Female,3,75,Master,0
Female,2,76,PhD,1
Female,11,86,Master,1
Female,10,53,Master,1
Male,7,99,Master,1
Female,1,73,PhD,0
Male,14,68,Master,1
Male,15,85,Master,1
Male,8,88,Master,1
Male,3,59,Master,0
Male,12,74,Master,1
Male,12,67,Bachelor,1
Female,13,68,Bachelor,1
Male,2,85,Bachelor,1
Male,3,59,Bachelor,1
Male,5,82,Bachelor,1
Male,11,99,Bachelor,1
Female,8,54,Master,0
Male,10,96,Bachelor,1
Female,7,98,Master,1
Female,7,84,Bachelor,1
Male,12,93,Bachelor,1
Male,7,83,Master,1
Female,15,82,Master,1
Female,8,70,Bachelor,1
Female,1,66,PhD,0
Female,4,71,PhD,1
Male,13,97,Bachelor,1
Male,6,86,Bachelor,1
Male,9,64,PhD,1
Female,13,84,Master,1
Female,2,77,Master,1
Male,1,56,Master,0
Male,13,81,Bachelor,1
Male,10,60,Bachelor,1
Male,12,59,Bachelor,1
Female,14,58,Master,1
Female,2,63,Master,0
Female,7,62,Master,1
Male,3,74,Bachelor,1
Male,10,51,Bachelor,1
Female,2,84,Bachelor,1
Female,14,56,Master,1
Male,11,70,Master,1
Female,7,67,Bachelor,1
Male,13,52,PhD,1
Male,13,91,Bachelor,1
Male,2,88,PhD,1
Male,3,90,Bachelor,1
Male,11,98,Master,1
Male,7,60,Bachelor,1
Female,14,88,PhD,1
Male,4,73,Bachelor,1
Male,13,95,Bachelor,1
Female,14,68,Bachelor,1
Male,1,53,Bachelor,1
Male,13,75,Bachelor,1
Female,14,87,PhD,1
Male,5,91,Bachelor,1
Male,12,81,Master,1
Male,9,88,Master,1
Male,8,94,Master,1
Female,12,95,Bachelor,1
Female,15,85,Bachelor,1
Female,9,89,Master,1
Female,10,86,PhD,1
Female,14,82,Bachelor,1
Male,9,85,Bachelor,1
Female,15,52,Bachelor,1
Male,7,58,PhD,0
Female,4,57,Bachelor,0
Female,5,82,Bachelor,1
Male,1,55,PhD,0
Male,14,90,Bachelor,1
Male,1,88,Bachelor,1
Male,3,53,Master,0
Female,13,62,PhD,1
Female,14,98,Bachelor,1
Male,8,51,Bachelor,1
Male,14,54,Bachelor,1
Male,2,93,Bachelor,1
Male,4,76,Master,1
Male,2,81,Bachelor,1
Male,14,70,Bachelor,1
Female,5,57,Bachelor,0
Male,9,87,Master,1
Male,1,57,Master,0
Female,5,99,PhD,1
Male,14,52,Bachelor,1
Female,15,93,Master,1
Female,9,52,Master,1
Male,15,71,Bachelor,1
Male,1,55,Bachelor,0
Male,9,51,Bachelor,0
Male,8,72,Bachelor,1
Male,4,93,Bachelor,1
Female,12,51,Bachelor,0
Male,11,87,Bachelor,1
Male,10,66,Master,1
Male,5,84,Bachelor,1
Female,13,83,Master,1
Male,5,72,Master,1
Male,11,79,PhD,1
Male,12,57,Master,1
Female,6,71,Bachelor,1
Male,7,93,Master,1
Female,8,85,Bachelor,1
Female,15,54,Bachelor,0
Male,14,62,PhD,1
Female,8,78,Bachelor,1
Male,11,80,Bachelor,1
Female,14,96,Master,1
Female,13,65,PhD,1
Male,2,91,Master,1
Male,9,79,Bachelor,1
Female,7,65,Master,1
Male,4,61,Bachelor,1
Male,4,66,Master,1
Male,11,65,PhD,1
Male,8,61,Master,1
Female,4,57,PhD,0
Male,13,69,Bachelor,1
Male,15,52,Master,1
Male,6,65,Master,1
Female,5,79,Bachelor,1
Male,3,94,PhD,1
Female,13,72,Bachelor,1
Male,14,77,Master,1
Female,10,100,Master,1
Male,11,89,Master,1
Male,2,54,Bachelor,0
Male,9,69,Master,1
Female,10,89,Master,1
Female,9,93,PhD,1
Male,1,50,Bachelor,0
Female,10,79,Bachelor,1
Female,3,70,Master,0
Male,8,69,Bachelor,1
Male,6,55,Master,1
Male,5,71,Master,1
Male,5,67,PhD,1
Female,6,57,Master,0
Female,15,88,Master,1
Female,7,81,Bachelor,1
Male,1,82,Bachelor,1
Male,9,65,Bachelor,1
Female,3,61,Bachelor,0
Female,4,87,Master,1
Female,10,83,Master,1
Female,1,63,Master,0
Female,13,85,Master,1
Male,11,82,PhD,1
Male,10,72,Master,1
Female,3,99,Master,1
Female,2,94,Master,1
Male,2,51,Bachelor,0
Male,14,90,Bachelor,1
Female,1,70,Bachelor,0
Male,8,51,PhD,1
Male,3,76,Master,1
Male,3,58,Bachelor,0
Female,6,50,Bachelor,0
Female,13,60,Master,1
Male,8,52,Bachelor,1
Female,13,72,Bachelor,1
Male,15,75,PhD,1
Male,9,53,Bachelor,1
Female,9,67,Bachelor,1
Female,4,55,Master,0
Female,14,84,PhD,1
Female,5,71,Master,0
Male,2,92,Bachelor,1
Male,11,64,Bachelor,1
Male,9,71,Bachelor,1
Male,8,86,Master,1
Male,3,91,Master,1
Female,11,61,Bachelor,1
Male,12,96,PhD,1
Female,13,98,Bachelor,1
Female,9,91,Bachelor,1
Female,3,87,Bachelor,1
Male,9,67,Bachelor,1
Male,2,94,Master,1
Male,12,84,Master,1
Male,10,79,Bachelor,1
Female,9,73,Master,0
Male,15,91,Bachelor,1
Male,8,79,Master,1
Female,9,63,PhD,1
Male,5,55,Bachelor,1
Female,11,52,Master,1
Female,11,65,Bachelor,1
Female,2,56,Bachelor,0
Male,8,63,Bachelor,1
Male,12,58,Master,1
Female,15,64,Master,1
Male,6,70,Bachelor,1
Female,8,84,Master,1
Female,11,51,Master,1
Female,5,76,Master,1
Male,10,51,Master,0
Male,2,84,Master,1
Female,6,67,Bachelor,1
Male,5,63,Bachelor,1
Male,12,69,PhD,1
Male,13,67,Bachelor,1
Female,12,59,PhD,1
Female,5,74,Master,1
Male,13,51,Bachelor,1
Male,1,74,Bachelor,0
Female,2,82,Bachelor,1
Female,8,85,PhD,1
Male,13,80,Bachelor,1
Male,14,63,Bachelor,1
Female,13,50,Bachelor,1
Female,3,95,Bachelor,1
Female,10,65,Bachelor,1
Female,3,95,Bachelor,1
Male,8,52,Master,1
Male,8,84,Bachelor,1
Female,2,90,Bachelor,1
Female,8,55,Bachelor,0
Female,11,74,Bachelor,1
Female,13,62,PhD,1
Male,13,83,Master,1
Male,1,57,Bachelor,0
Female,6,70,Master,0
Female,8,83,Bachelor,1
Female,3,53,Bachelor,0
Female,8,74,PhD,1
Female,12,64,Master,1
Male,1,53,PhD,0
Male,11,94,Bachelor,1
Male,11,61,Master,1
Male,9,81,Bachelor,1
Male,13,81,Bachelor,1
Male,11,77,Master,1
Male,13,62,Bachelor,1
Male,9,80,Master,1
Male,5,63,Master,0
Male,10,69,Bachelor,1
Male,4,67,Master,1
Female,15,78,Master,1
Male,11,55,Bachelor,1
Male,6,81,Master,1
Male,12,78,Master,1
Female,7,92,Bachelor,1
Male,5,51,Master,0
Female,11,72,PhD,1
Male,13,68,Bachelor,1
Male,10,80,Master,1
Male,9,100,Bachelor,1
Male,3,54,Master,0
Female,15,68,Master,1
Female,7,83,Bachelor,1
Female,10,59,Bachelor,0
Male,10,74,Master,1
Male,11,51,Bachelor,1
Female,5,60,Master,0
Male,14,99,Bachelor,1
Male,7,80,PhD,1
Male,15,64,Master,1
Male,2,58,PhD,0
Female,4,72,Bachelor,0
Female,2,68,Master,0
Female,14,58,Master,1
Male,13,84,Bachelor,1
Male,13,70,Bachelor,1
Male,12,58,Bachelor,1
Male,7,77,Master,1
Male,2,95,Master,1
Female,13,100,Bachelor,1
Female,14,56,Master,1
Male,11,65,Bachelor,1
Female,1,65,Bachelor,0
Female,9,82,PhD,1
Male,1,53,PhD,0
Female,8,53,Master,0
Male,15,88,Bachelor,1
Male,2,89,Master,1
Male,12,66,Bachelor,1
Female,8,86,Bachelor,1
Male,13,88,Bachelor,1
Male,3,78,Master,1
Male,6,85,Master,1
Male,3,87,Bachelor,1
Female,14,88,Master,1
Female,7,99,PhD,1
Male,10,86,Bachelor,1
Male,9,84,Master,1
Male,2,56,PhD,1
Male,15,76,Bachelor,1
Male,12,77,Bachelor,1
Male,12,71,Master,1
Male,15,63,Master,1
Female,14,56,Master,1
Female,5,86,Bachelor,1
Male,13,71,PhD,1
Male,6,54,Bachelor,0
Female,4,51,Bachelor,0
Male,4,76,Master,1
Female,4,70,Bachelor,0
Female,2,87,Bachelor,1
Male,4,64,Bachelor,1
Male,11,70,Bachelor,1
Female,1,59,Bachelor,0
Male,12,72,PhD,1
Male,6,88,Bachelor,1
Female,1,54,Master,0
Male,10,50,Master,1
Male,6,62,PhD,1
Female,1,70,Bachelor,0
Male,6,75,PhD,1
Male,10,99,Master,1
Female,8,94,Master,1
Male,11,70,Master,1
Female,2,67,Master,0
Female,2,86,Bachelor,1
Male,14,94,Master,1
Male,15,81,Master,1
Male,13,85,Master,1
Male,12,66,PhD,1
Male,4,84,Bachelor,1
Female,11,98,PhD,1
Male,3,60,Bachelor,1
Male,4,70,Bachelor,1
Female,13,75,Bachelor,1
Male,12,53,Bachelor,1
Female,7,83,Master,1
Male,13,97,Bachelor,1
Male,11,67,Bachelor,1
Female,1,89,PhD,1
Female,6,84,Master,1
Female,15,90,Master,1
Female,15,78,PhD,1
Female,3,78,Master,1
Male,11,87,Bachelor,1
Male,10,91,Bachelor,1
Female,7,70,Master,1
Female,10,91,Bachelor,1
Female,2,62,Master,0
Male,14,98,Bachelor,1
Male,2,90,Bachelor,1
Female,13,66,Master,1
Male,4,58,Master,1
Female,1,90,Master,1
Female,3,50,Master,0
Male,13,51,Bachelor,1
Female,9,97,Bachelor,1
Female,7,78,PhD,1
Male,15,82,Master,1
Female,7,59,Bachelor,0
Male,13,99,Master,1
Female,13,89,Bachelor,1
Male,11,70,Bachelor,1
Female,4,77,Bachelor,1
Male,2,60,Master,0
Male,15,83,Master,1
Female,14,57,Bachelor,1
Male,4,71,PhD,1
Male,6,57,Bachelor,1
Female,11,98,Bachelor,1
Female,11,64,Bachelor,1
Male,3,66,Bachelor,0
Female,1,72,Bachelor,0
Male,14,73,Master,1
Male,12,94,Master,1
Male,8,68,Master,1
Female,12,54,Bachelor,0
Female,13,81,Bachelor,1
Female,5,93,Bachelor,1
Female,15,50,Bachelor,1
Male,5,72,Master,1
Male,11,86,Bachelor,1
Male,4,57,Master,0
Male,6,62,PhD,1
Male,3,57,Bachelor,0
Female,9,72,Master,1
Male,5,92,Master,1
Male,3,50,Master,0
Male,11,94,Master,1
Female,1,100,Bachelor,1
Female,10,73,Bachelor,1
Male,12,84,Bachelor,1
Male,6,73,Bachelor,1
Female,15,66,Master,1
Male,2,54,Bachelor,0
Female,13,69,PhD,1
Female,3,70,Master,0
Male,1,89,Bachelor,1
Male,9,80,Bachelor,1
Female,8,95,PhD,1
Male,12,85,Master,1
Male,2,60,Master,0
Female,15,64,Bachelor,1
Female,12,68,Bachelor,1
Female,11,56,Bachelor,0
Female,8,100,Bachelor,1
Male,12,77,Master,1
Male,14,100,Master,1
Female,9,92,Master,1
Male,1,54,PhD,0
Male,13,54,Master,1
Female,5,79,Bachelor,1
Male,8,81,Bachelor,1
Male,15,57,PhD,1
Male,11,59,Bachelor,1
Male,14,87,PhD,1
Male,2,96,Master,1
Male,4,81,Bachelor,1
Male,7,97,Master,1
Female,3,77,PhD,0
Female,13,66,Master,1
Male,12,80,PhD,1
Female,5,57,PhD,0
Male,8,89,Bachelor,1
Male,12,74,Bachelor,1
Female,10,58,PhD,1
Male,3,51,Master,0
Female,4,64,Bachelor,0
Male,14,99,Bachelor,1
Female,15,52,Master,1
Male,9,98,PhD,1
Female,14,85,Master,1
Male,14,53,Master,1
Female,7,63,Bachelor,0
Male,1,90,Bachelor,1
Male,14,90,PhD,1
Female,12,74,Bachelor,1
Male,4,99,Bachelor,1
Female,4,59,Bachelor,0
Female,9,70,Master,1
Male,6,85,PhD,1
Female,9,61,Bachelor,1
Male,12,76,Bachelor,1
Female,15,89,Master,1
Male,6,51,PhD,1
Male,6,62,Bachelor,1
Female,5,81,Bachelor,1
Female,5,80,Bachelor,1
Male,2,65,PhD,0
Female,8,81,Bachelor,1
Male,8,81,Bachelor,1
Male,11,83,Master,1
Male,13,60,Master,1
Male,1,59,Bachelor,0
Male,8,64,PhD,1
Male,5,66,Bachelor,1
Female,2,89,Master,1
Female,14,67,Bachelor,1
Female,2,58,Master,0
Male,14,74,Bachelor,1
Male,15,89,PhD,1
Female,15,63,Master,1
Female,6,74,Master,1
Male,11,99,Master,1
Female,13,71,Master,1
Female,9,79,Bachelor,1
Female,1,69,Bachelor,0
Female,12,70,PhD,1
Female,6,93,Bachelor,1
Male,9,81,Master,1
Female,8,100,PhD,1
Female,11,95,Bachelor,1
Male,6,98,Master,1
Male,3,70,Bachelor,1
Male,8,84,Master,1
Female,9,81,Bachelor,1
Female,1,79,Bachelor,0
Male,12,88,Master,1
Male,9,98,Master,1
Male,14,61,Master,1
Female,15,90,Master,1
Female,6,96,Bachelor,1
Female,6,67,Master,0
Male,12,70,Bachelor,1
Male,4,62,PhD,1
Male,1,70,Master,1
Male,10,57,Master,1
Female,8,95,PhD,1
Female,2,89,Bachelor,1
Female,12,95,Master,1
Female,1,56,Bachelor,0
Male,2,72,PhD,1
Female,1,93,Bachelor,1
Female,1,81,Master,0
Female,9,60,PhD,0
Male,13,71,Bachelor,1
Male,14,71,Bachelor,1
Male,1,92,Master,1
Female,13,74,Bachelor,1
Female,4,71,Bachelor,0
Male,10,77,Bachelor,1
Female,6,78,Bachelor,1
Female,7,62,PhD,0
Male,2,67,Master,1
Male,6,51,Bachelor,0
Female,7,78,Bachelor,1
Male,10,70,Bachelor,1
Female,14,64,Bachelor,1
Male,10,76,Bachelor,1
Female,2,99,Bachelor,1
Male,15,80,Bachelor,1
Male,2,64,Master,1
Female,10,100,Bachelor,1
Male,7,72,Master,1
Male,12,73,Master,1
Male,1,93,Master,1
Female,8,62,Master,1
Female,11,71,Master,1
Female,13,92,PhD,1
Male,3,86,Master,1
Male,11,82,Master,1
Male,6,52,Master,0
Male,9,68,Master,1
Male,6,72,Bachelor,1
Male,9,78,Bachelor,1
Male,7,79,Bachelor,1
Female,15,88,PhD,1
Male,9,93,Master,1
Male,2,96,PhD,1
Female,12,74,Master,1
Male,8,86,Bachelor,1
Female,8,96,Bachelor,1
Female,2,57,Master,0
Female,12,91,Master,1
Male,14,65,PhD,1
Female,4,57,Bachelor,0
Male,14,50,Master,1
Male,15,93,Master,1
Male,11,54,Master,1
Female,15,52,Master,1
Male,7,50,Master,0
Male,11,53,Bachelor,1
Female,4,89,Master,1
Male,4,84,Master,1
Male,6,81,PhD,1
Male,10,91,Master,1
Male,6,83,Bachelor,1
Male,10,92,Bachelor,1
Male,15,74,PhD,1
Female,3,59,Master,0
Male,15,70,PhD,1
Male,9,95,Bachelor,1
Female,12,88,Master,1
Male,10,76,Master,1
Female,14,76,PhD,1
Male,11,51,Bachelor,1
Male,2,90,Master,1
Male,6,97,Master,1
Male,12,62,Bachelor,1
Male,7,58,Master,1
Male,12,85,Master,1
Male,13,71,PhD,1
Male,9,91,Bachelor,1
Male,13,75,Bachelor,1
Male,3,61,Bachelor,0
Male,10,66,Bachelor,1
Male,3,63,Bachelor,0
Female,7,63,Master,1
Male,14,83,Bachelor,1
Female,4,69,PhD,0
Female,13,60,PhD,0
Male,8,65,Master,1
Female,13,100,PhD,1
Female,7,80,Master,1
Male,5,55,Master,0
Male,7,68,Bachelor,1
Female,3,86,Bachelor,1
Female,12,53,Master,1
Male,2,96,PhD,1
Male,6,53,Bachelor,1
Male,2,69,PhD,0
Male,3,59,Master,0
Female,6,73,Bachelor,1
Male,5,84,PhD,1
Male,8,75,Master,1
Female,9,86,Bachelor,1
Male,11,87,Master,1
Male,3,70,Bachelor,0
Female,12,89,Master,1
Female,10,88,Bachelor,1
Male,3,70,Bachelor,0
Male,3,59,PhD,0
Male,13,87,Master,1
Male,13,95,Bachelor,1
Male,6,53,Bachelor,0
Male,15,94,PhD,1
Male,15,69,Bachelor,1
Male,1,66,Bachelor,0
Male,7,56,Bachelor,1
Male,12,53,Bachelor,1
Male,1,78,Master,1
Male,14,63,Master,1
Male,5,52,Bachelor,1
Female,15,73,Master,1
Male,10,86,Bachelor,1
Female,13,65,PhD,1
Female,8,53,PhD,0
Male,4,73,Bachelor,1
Male,5,83,PhD,1
Male,4,79,Master,1
Male,12,67,Bachelor,1
Female,12,68,Bachelor,1
Male,14,80,Bachelor,1
Male,4,68,Master,1
Male,12,98,PhD,1
Male,8,95,Master,1
Female,2,68,PhD,0
Male,1,71,Master,0
Male,3,73,Master,1
Female,9,94,Master,1
Female,4,61,Bachelor,0
Male,10,79,Master,1
Male,5,87,Master,1
Male,2,80,Bachelor,1
Male,4,85,Master,1
Male,2,68,Bachelor,1
Male,15,97,Master,1
Male,2,94,Master,1
Male,4,85,Bachelor,1
Female,6,79,Bachelor,1
Male,7,98,Bachelor,1
Male,10,82,PhD,1
Male,3,67,Bachelor,1
Female,3,98,PhD,1
Male,10,77,Bachelor,1
Male,6,96,PhD,1
Female,13,60,PhD,1
Female,12,94,Bachelor,1
Female,3,82,Master,1
Male,13,66,Bachelor,1
Male,2,55,Master,0
Female,8,53,Bachelor,0
Female,5,69,Bachelor,0
Male,15,97,Bachelor,1
Male,1,96,Bachelor,1
Male,3,76,Bachelor,1
Female,10,64,Master,1
Male,8,55,PhD,1
Male,4,96,Bachelor,1
Male,14,63,Master,1
Male,7,60,Bachelor,1
Male,10,88,Master,1
Male,12,58,PhD,1
Female,14,75,PhD,1
Male,14,65,PhD,1
Male,2,54,Bachelor,0
Male,7,59,Master,1
Male,5,99,Master,1
Male,5,52,Bachelor,1
Male,6,62,PhD,1
Male,13,92,Bachelor,1
Male,9,98,Master,1
Male,14,79,Bachelor,1
Female,6,94,Bachelor,1
Male,12,55,Master,1
Female,13,66,Master,1
Male,15,94,Bachelor,1
Female,14,100,Bachelor,1
Female,8,68,Master,1
Male,7,91,Bachelor,1
Male,9,84,Bachelor,1
Male,4,95,PhD,1
Male,2,75,Master,1
Female,7,100,Bachelor,1
Female,6,54,Master,0
Female,1,78,Master,0
Male,11,86,PhD,1
Female,9,69,Master,1
Female,9,98,Bachelor,1
Male,12,70,Bachelor,1
Male,2,59,Bachelor,1
Female,3,54,Master,0
Male,5,85,Bachelor,1
Female,5,55,Master,0
Male,15,75,Bachelor,1
Female,1,53,Bachelor,0
Male,8,88,PhD,1
Male,12,88,Bachelor,1
Male,8,99,Bachelor,1
Female,4,84,Master,1
Female,13,50,Bachelor,0
Male,7,73,Master,1
Male,15,85,Master,1
Female,15,55,Bachelor,0
Male,11,90,Master,1
Female,10,95,Master,1
Male,3,93,Bachelor,1
Male,6,80,Bachelor,1
Male,14,69,Bachelor,1
Male,10,73,PhD,1
Female,13,74,Bachelor,1
Male,10,85,Master,1
Male,12,70,Master,1
Female,14,79,Master,1
Male,9,73,Bachelor,1
Male,1,93,Bachelor,1
Female,5,91,Master,1
Female,4,79,Bachelor,1
Male,8,71,Bachelor,1
Female,11,77,Bachelor,1
Female,12,56,Bachelor,1
Male,1,84,PhD,1
Male,9,77,Bachelor,1
Female,6,63,Bachelor,0
Female,4,59,Bachelor,0
Male,12,65,Master,1
Female,9,65,Master,1
Female,11,80,Bachelor,1
Male,5,91,Master,1
Male,15,74,Master,1
Male,5,62,PhD,1
Female,12,55,Master,1
Male,5,93,Bachelor,1
Male,1,58,Bachelor,0
Female,1,94,Bachelor,1
Female,8,85,Bachelor,1
Male,12,92,PhD,1
Female,8,69,Bachelor,1
Male,12,67,Bachelor,1
Female,15,92,Master,1
Male,15,70,Master,1
Male,6,53,Bachelor,0
Female,12,99,Bachelor,1
Male,11,82,Bachelor,1
Male,13,76,Master,1
Female,4,56,Bachelor,0
Female,2,55,Bachelor,0
Female,14,64,Master,1
Female,2,67,Bachelor,0
Male,9,81,Master,1
Male,15,60,Bachelor,1
Male,5,69,Bachelor,1
Male,4,73,PhD,1
Female,10,64,Master,1
Male,13,97,Bachelor,1
Male,1,56,Master,0
Male,7,70,Master,1
Female,3,91,Master,1
Male,6,75,Bachelor,1
Male,5,93,PhD,1
Male,5,63,Bachelor,1
Female,11,86,Bachelor,1
Male,5,70,Bachelor,1
Female,1,67,Bachelor,0
Female,1,54,Master,0
Male,3,52,Bachelor,0
Female,14,72,Bachelor,1
Female,12,75,PhD,1
Female,10,86,Bachelor,1
Male,4,73,Bachelor,1
Male,5,98,Bachelor,1
Female,2,68,Bachelor,0
Male,8,100,Bachelor,1
Female,11,74,Master,1
Female,11,70,Bachelor,1
Female,14,61,Bachelor,1
Male,2,90,Master,1
Male,9,82,Master,1
Female,2,99,Bachelor,1
Female,13,53,Master,1
Male,9,91,Bachelor,1
Female,7,56,Bachelor,0
Female,15,71,Master,1
Male,8,82,Bachelor,1
Male,15,66,PhD,1
Male,11,73,Bachelor,1
Male,2,83,Master,1
Male,7,77,Bachelor,1
Female,12,92,Master,1
Male,6,90,Master,1
Male,4,88,Master,1
Male,7,71,Bachelor,1
Male,14,98,Master,1
Female,13,66,Master,1
Male,4,83,Master,1
Male,2,55,Master,0
Female,10,95,Master,1
Male,12,55,Bachelor,1
Male,7,83,Bachelor,1
Male,8,50,Bachelor,1
Male,2,59,Bachelor,0
Male,5,70,PhD,0
Male,1,54,Master,0
Male,7,51,PhD,1
Female,8,71,Bachelor,1
Male,13,97,PhD,1
Male,6,51,Master,0
Female,5,59,Master,0
Male,15,83,Master,1
Female,6,65,Bachelor,0
Male,15,97,Master,1
Female,2,100,Master,1
Male,1,88,Bachelor,1
Male,7,71,Bachelor,1
Male,7,61,PhD,1
Female,10,73,PhD,1
Male,11,96,PhD,1
Male,10,89,Master,1
Male,14,87,Bachelor,1
Female,2,59,Bachelor,0
Male,2,84,Bachelor,1
Female,1,100,Bachelor,1
Male,10,98,Bachelor,1
Male,8,81,Bachelor,1
Male,15,56,Bachelor,1
Male,8,70,PhD,1
Male,1,69,Bachelor,1
Male,12,75,PhD,1
Female,11,53,Master,1
Male,8,95,Bachelor,1
Male,9,71,Bachelor,1
Male,14,64,Bachelor,1
Male,4,89,Bachelor,1
Male,1,70,Master,1
Male,1,64,Bachelor,0
Male,3,71,Bachelor,1
Female,15,77,Bachelor,1
Female,14,63,PhD,1
Male,5,76,Master,1
Male,5,90,Master,1
Female,9,89,Bachelor,1
Male,10,77,Master,1
Male,14,75,Master,1
Male,12,98,Master,1
Female,2,51,PhD,0
Female,2,74,Bachelor,0
Male,6,52,PhD,0
Male,15,57,PhD,1
Male,9,93,Bachelor,1
Female,1,82,Bachelor,1
Male,9,91,PhD,1
Male,9,84,Bachelor,1
Female,13,55,Master,0
Male,9,88,PhD,1
Female,5,72,Master,0
Male,13,74,Bachelor,1
Male,15,99,Master,1
Male,9,92,Bachelor,1
Female,11,68,Master,1
Female,4,54,Bachelor,0
Female,2,100,Master,1
Male,13,60,Master,1
Female,6,61,Master,0
Male,14,59,Master,1
Male,4,57,Master,0
Female,6,73,Master,1
Male,3,77,Bachelor,1
Male,6,90,Master,1
Male,2,85,Bachelor,1
Male,2,86,PhD,1
Male,13,70,Bachelor,1
Male,9,57,Bachelor,1
Male,7,58,Master,1
Female,3,96,Bachelor,1
Female,13,64,Bachelor,1
Male,11,97,Master,1
Male,1,95,Master,1
Male,8,89,Master,1
Male,14,67,Bachelor,1
Male,6,91,Master,1
Female,7,69,Bachelor,1
Male,9,55,Master,1
Male,5,61,Master,1
Male,15,51,Master,1
Male,1,56,Bachelor,0
Female,12,65,Bachelor,1
Female,10,52,Bachelor,0
Male,7,94,Bachelor,1
Female,15,52,Bachelor,1
Male,5,76,Master,1
Female,3,99,Bachelor,1
Female,12,92,PhD,1
Male,13,89,Bachelor,1
Male,9,87,Master,1
Male,1,82,Master,1
Male,1,77,Bachelor,1
Female,1,50,Bachelor,0
Male,3,57,Master,0
Male,12,86,Bachelor,1
Female,6,81,PhD,1
Female,10,97,Master,1
Male,11,92,PhD,1
Male,3,86,Bachelor,1
Male,8,53,Master,1
Male,14,79,Master,1
Female,14,55,Master,0
Male,10,95,Bachelor,1
Male,2,68,Master,0
Male,14,81,Bachelor,1
Male,9,58,Master,1
Female,3,61,Bachelor,0
Female,5,60,PhD,0
Male,10,95,Bachelor,1
Male,8,65,Master,1
Male,2,50,PhD,0
Female,6,94,Master,1
Female,12,70,Master,1
Male,5,79,Bachelor,1
Female,13,62,PhD,0
Female,10,83,Bachelor,1
Male,9,53,Master,1
Female,12,77,Master,1
Male,5,87,Master,1
Male,2,80,Bachelor,1
Male,5,76,Master,1
Male,15,54,Master,1
Male,12,74,Bachelor,1
Female,4,52,PhD,0
Male,15,82,Bachelor,1
Female,11,53,Bachelor,1
Male,7,74,Bachelor,1
Male,6,69,Bachelor,1
Male,14,83,PhD,1
Male,2,75,Bachelor,0
Female,12,54,Bachelor,0
Male,11,84,Bachelor,1
Male,11,77,Master,1
Male,13,78,Master,1
Female,5,58,Bachelor,0
Female,7,87,Bachelor,1
Female,11,99,PhD,1
Male,7,55,Bachelor,0
Male,15,68,Bachelor,1
Male,5,93,Bachelor,1
Male,12,60,Master,1
Male,15,51,Bachelor,1
Male,9,96,Master,1
Male,4,93,Bachelor,1
Male,11,93,PhD,1
Female,3,58,Bachelor,0
Male,15,70,Master,1
Male,4,73,Bachelor,0
Female,5,83,Bachelor,1
Male,13,71,Master,1
Female,6,52,Bachelor,0
Male,3,61,PhD,1
Male,2,77,PhD,1
Female,14,79,PhD,1
Female,13,75,Bachelor,1
Female,4,97,Master,1
Male,5,70,Bachelor,1
Male,4,77,PhD,1
Male,14,75,Master,1
Male,11,82,Master,1
Female,13,70,Bachelor,1
Male,15,84,Master,1
Female,12,83,Bachelor,1
Male,3,90,Master,1
